,ProjectID,Project Summary,Scope and Deliverables,Theme_x,Products Involved,Required Skills and Expertise,Customer Preferences (Certifications),Integration Requirements (Expertise Areas),Customer Industry,Work Location_x,Work Flexibility_x,Languages Required,Complexity,Effort,Requested End,EmployeeID,Role Name,Role Description,Theme_y,Products Experience,Core Competencies,External/Internal Certifications,Expertise Areas,Industry Experience,Work Location_y,Work Flexibility_y,Languages Known,Available From,Weekly Availability in Hours,Cultural Awareness,Problem Solving,Leadership,Product Match Score,Location Match Score,Language Match Score,Industry Match Score,Skill Match Score,Certification Match Score,Expertise Match Score,Job Description Match Score,Cultural Awareness Score,Problem Solving Score,Leadership Score,Availability Score,Available,Product Match Score Weighted,Location Match Score Weighted,Language Match Score Weighted,Industry Match Score Weighted,Skill Match Score Weighted,Certification Match Score Weighted,Expertise Match Score Weighted,Job Description Match Score Weighted,Cultural Awareness Score Weighted,Problem Solving Score Weighted,Leadership Score Weighted,Final Score
11,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E12,Strategy Consultant,Advises leadership on business growth and optimization strategies.,Consulting,"['ERP Migration Tool', 'Business Analysis Framework']","{'Change Management': 4, 'Project Management': 8, 'Workflow Optimization': 6, 'Business Analysis': 10}",['Six Sigma'],"['Business Workflow Optimization', 'ERP Systems Integration']",['Healthcare'],Berlin,onsite,"{'German': 'C2', 'Italian': 'B1', 'French': 'B2'}",2025-06-22,10,9,9,5,0.0,1.0,1.0,0.0,0.13,0.0,0.0,0.452,0.9,0.9,0.5,0.73,0,0.0,0.1,0.1,0.0,0.026000000000000002,0.0,0.0,0.0678,0.022500000000000003,0.022500000000000003,0.0125,0.35130000000000006
16,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E17,Solutions Support Consultant,Provides technical guidance and second-line support for Canon solutions during and after customer deployment.,Technical,"['Workflow2000', 'AIScan']","{'IT Infrastructure': 10, 'Workflow Automation': 8, 'API Development': 9, 'Cloud Services': 10}",['ITIL'],"['Scripting', 'API Integration']",['Education'],London,hybrid,{'French': 'B2'},2025-06-20,30,6,3,1,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.514,0.6,0.3,0.1,1.0,1,0.0,0.0,0.0,0.0,0.168,0.0,0.0,0.0771,0.015,0.0075,0.0025000000000000005,0.2701
2,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E3,Strategy Consultant,Advises leadership on business growth and optimization strategies.,Consulting,"['Business Analysis Framework', 'ERP Migration Tool', 'Strategy Kit']","{'Workflow Optimization': 6, 'Strategic Planning': 6, 'Business Analysis': 6, 'Project Management': 9}",['PMP'],['Strategic Planning'],"['Retail', 'Education', 'Finance']",London,remote,{'German': 'A1'},2025-06-16,40,9,5,10,0.0,0.0,0.33,1.0,0.13,0.0,0.0,0.452,0.9,0.5,1.0,1.0,1,0.0,0.0,0.033,0.075,0.026000000000000002,0.0,0.0,0.0678,0.022500000000000003,0.0125,0.025,0.26180000000000003
17,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E18,Workflow Consultant,Analyzes business processes and recommends workflow improvements.,Consulting,"['Strategy Kit', 'Business Analysis Framework', 'ERP Migration Tool']","{'Strategic Planning': 6, 'Change Management': 8, 'Business Analysis': 7, 'Project Management': 9, 'Workflow Optimization': 5}","['PMP', 'Business Analysis Certification']",['Business Workflow Optimization'],"['Retail', 'Healthcare']",Vienna,onsite,{'Italian': 'C2'},2025-06-01,30,10,4,2,0.0,0.0,0.0,1.0,0.11,0.0,0.0,0.517,1.0,0.4,0.2,1.0,1,0.0,0.0,0.0,0.075,0.022000000000000002,0.0,0.0,0.07755,0.025,0.010000000000000002,0.005000000000000001,0.21455
14,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E15,Senior HR Manager,Manages HR operations and employee relations.,HR,"['Employee Experience Platform', 'Onboarding Suite', 'HRIS Plus']","{'Talent Management': 10, 'Organizational Development': 10, 'Communication Skills': 8}",['HR Analytics Certification'],['Organizational Development Systems'],"['Manufacturing', 'Education', 'Finance']",Berlin,onsite,"{'English': 'C2', 'Italian': 'B1'}",2025-06-04,20,9,5,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.447,0.9,0.5,0.4,1.0,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.06705,0.022500000000000003,0.0125,0.010000000000000002,0.21205000000000002
15,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E16,Corporate Trainer,Designs and delivers employee training programs.,HR,"['Onboarding Suite', 'HRIS Plus', 'Employee Experience Platform']","{'Talent Management': 8, 'Communication Skills': 9, 'Organizational Development': 7, 'Digital HR': 8}","['PMP', 'SHRM-CP']",['HRIS Systems'],"['Manufacturing', 'Retail', 'Finance']",London,onsite,{'English': 'C2'},2025-06-25,30,1,9,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.458,0.1,0.9,0.4,1.0,1,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0687,0.0025000000000000005,0.022500000000000003,0.010000000000000002,0.1787
10,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E11,Customer Success Manager,Supports post-sales success and client satisfaction.,Sales,"['Sales Enablement Suite', 'Loyalty CRM']","{'Customer Relationship Management': 4, 'CRM Integration': 10, 'Negotiation': 6}",['Certified Sales Professional (CSP)'],"['Sales Pipeline Automation', 'Client Relationship Systems']","['Manufacturing', 'Healthcare', 'Finance']",Vienna,hybrid,"{'Italian': 'C2', 'German': 'B1'}",2025-06-15,10,9,4,1,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.46,0.9,0.4,0.1,0.82,0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.069,0.022500000000000003,0.010000000000000002,0.0025000000000000005,0.171
9,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E10,Content Creator,"Develops written, video, and visual content for marketing.",Marketing,"['Digital Campaign Manager', 'Social Media Manager', 'SEO Toolkit']","{'Content Strategy': 10, 'Campaign Management': 4, 'Copywriting': 4, 'SEO Optimization': 10}","['Google Ads Certification', 'Digital Marketing Certification']","['SEO Optimization', 'Social Media Integration']","['Finance', 'Manufacturing']",London,remote,{'English': 'C2'},2025-06-24,10,10,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,1.0,0.7,0.8,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05805,0.025,0.017499999999999998,0.020000000000000004,0.12055
4,P1,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['IntegratinoHub', 'ClouduSite', 'Print2.0']","{'Workfolw Automation': 10, 'Cloud Services': 5, 'Data Analysis': 9, 'IT Infrastructure': 5, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cloud Infrastructure', 'Networking']",eRtail,Beriln,hybrid,{'Germna': 'C1'},9,110,2025-08-17,E5,Content Creator,"Develops written, video, and visual content for marketing.",Marketing,"['Digital Campaign Manager', 'Content CMS']","{'Campaign Management': 9, 'SEO Optimization': 4, 'Copywriting': 7, 'Content Strategy': 8}","['HubSpot Marketing Certification', 'Google Ads Certification']",['SEO Optimization'],"['Education', 'Manufacturing']",Vienna,onsite,"{'Italian': 'C2', 'French': 'B2'}",2025-06-21,30,5,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.5,0.7,0.9,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05805,0.0125,0.017499999999999998,0.022500000000000003,0.11055000000000001
193,P10,API and system integration project,Develop middleware for integration of ERP/CRM,Technical,"['CloudSuite', 'Workflow2000', 'IntegrationHub']","{'IT Infrastrucutre': 7, 'Data nAalysis': 8, 'Workflow Automatino': 5, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",dEucation,Berlin,remote,"{'Italian': 'A1', 'German': 'A1', 'English': 'B2'}",8,180,2025-07-02,E14,Solutions Support Consultant,Provides technical guidance and second-line support for Canon solutions during and after customer deployment.,Technical,"['AIScan', 'Workflow2000']","{'Workflow Automation': 6, 'Cloud Services': 9, 'API Development': 6}","['ISO 27001', 'Microsoft Azure Certification']","['Cybersecurity', 'Networking']","['Finance', 'Manufacturing']",Vienna,remote,{'Italian': 'B2'},2025-06-09,40,1,2,6,0.33,1.0,0.33,0.0,0.53,0.0,0.5,0.507,0.1,0.2,0.6,0.73,0,0.033,0.1,0.033,0.0,0.10600000000000001,0.0,0.05,0.07604999999999999,0.0025000000000000005,0.005000000000000001,0.015,0.42055000000000003
197,P10,API and system integration project,Develop middleware for integration of ERP/CRM,Technical,"['CloudSuite', 'Workflow2000', 'IntegrationHub']","{'IT Infrastrucutre': 7, 'Data nAalysis': 8, 'Workflow Automatino': 5, 'API Development': 9}",['ITIL'],"['Cybersecurity', 'Cloud Infrastructure']",dEucation,Berlin,remote,"{'Italian': 'A1', 'German': 'A1', 'English': 'B2'}",8,180,2025-07-02,E18,Workflow Consultant,Analyzes business processes and recommends workflow improvements.,Consulting,"['Strategy Kit', 'Business Analysis Framework', 'ERP Migration Tool']","{'Strategic Planning': 6, 'Change Management': 8, 'Business Analysis': 7, 'Project Management': 9, 'Workflow Optimization': 5}","['PMP', 'Business Analysis Certification']",['Business Workflow Optimization'],"['Retail', 'Healthcare']",Vienna,onsite,{'Italian': 'C2'},2025-06-01,30,10,4,2,0.0,1.0,0.33,0.0,0.31,0.0,0.0,0.526,1.0,0.4,0.2,0.74,0,0.0,0.1,0.033,0.0,0.062,0.0,0.0,0.0789,0.025,0.010000000000000002,0.005000000000000001,0.31390000000000007
226,P12,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['Workflow2000', 'Print2.0']","{'Workflow Automation': 7, 'IT Infrastructure': 5}","['ISO 27001', 'ITIL']","['Cloud Infrastructure', 'Scripting']",Education,Vienna,remote,"{'nEglish': 'A2', 'tIalian': 'B1', 'German': 'A1'}",4,80,2025-08-02,E7,Solution Architect,Designs high-level technical solutions for enterprise customers.,Technical,"['IntegrationHub', 'Workflow2000', 'Print2.0']","{'IT Infrastructure': 7, 'Data Analysis': 8, 'Workflow Automation': 5}",['ISO 27001'],['Cybersecurity'],['Manufacturing'],London,remote,"{'Italian': 'A2', 'German': 'B2', 'English': 'C2'}",2025-06-18,10,6,10,6,1.0,1.0,0.94,0.0,1.0,0.5,0.0,0.522,0.6,1.0,0.6,0.8,0,0.1,0.1,0.094,0.0,0.2,0.05,0.0,0.0783,0.015,0.025,0.015,0.6773000000000001
238,P12,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['Workflow2000', 'Print2.0']","{'Workflow Automation': 7, 'IT Infrastructure': 5}","['ISO 27001', 'ITIL']","['Cloud Infrastructure', 'Scripting']",Education,Vienna,remote,"{'nEglish': 'A2', 'tIalian': 'B1', 'German': 'A1'}",4,80,2025-08-02,E19,Technical Support Specialist,Resolves technical issues reported by customers.,Technical,['CloudSuite'],"{'Cloud Services': 7, 'API Development': 5, 'Data Analysis': 6, 'Workflow Automation': 7}",['ISO 27001'],"['API Integration', 'Cybersecurity']","['Education', 'Finance', 'Healthcare']",Berlin,hybrid,"{'English': 'B2', 'Italian': 'B1', 'German': 'B2'}",2025-06-16,40,8,9,7,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.536,0.8,0.9,0.7,1.0,1,0.0,0.1,0.1,0.075,0.2,0.05,0.0,0.0804,0.020000000000000004,0.022500000000000003,0.017499999999999998,0.6654
227,P12,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['Workflow2000', 'Print2.0']","{'Workflow Automation': 7, 'IT Infrastructure': 5}","['ISO 27001', 'ITIL']","['Cloud Infrastructure', 'Scripting']",Education,Vienna,remote,"{'nEglish': 'A2', 'tIalian': 'B1', 'German': 'A1'}",4,80,2025-08-02,E8,Field Support Engineer,Provides onsite technical support for Canon products.,Technical,['Workflow2000'],"{'Workflow Automation': 10, 'Cloud Services': 4, 'API Development': 10, 'IT Infrastructure': 10, 'Data Analysis': 9}","['Microsoft Azure Certification', 'ISO 27001']",['Networking'],"['Manufacturing', 'Education']",Berlin,onsite,"{'Italian': 'A2', 'English': 'A2', 'French': 'B1'}",2025-06-05,30,7,1,5,0.5,1.0,0.61,1.0,1.0,0.5,0.0,0.533,0.7,0.1,0.5,1.0,1,0.05,0.1,0.061,0.075,0.2,0.05,0.0,0.07995000000000001,0.017499999999999998,0.0025000000000000005,0.0125,0.6484499999999999
232,P12,Upgrade internal IT infrastructure,"Replace old servers, migrate systems to cloud",Technical,"['Workflow2000', 'Print2.0']","{'Workflow Automation': 7, 'IT Infrastructure': 5}","['ISO 27001', 'ITIL']","['Cloud Infrastructure', 'Scripting']",Education,Vienna,remote,"{'nEglish': 'A2', 'tIalian': 'B1', 'German': 'A1'}",4,80,2025-08-02,E13,Field Support Engineer,Provides onsite technical support for Canon products.,Technical,['AIScan'],"{'IT Infrastructure': 7, 'Workflow Automation': 7, 'Data Analysis': 5, 'Cloud Services': 6}",['ISO 27001'],['Scripting'],"['Education', 'Retail', 'Healthcare']",Berlin,hybrid,"{'Italian': 'C1', 'French': 'B1'}",2025-06-21,40,8,7,7,0.0,1.0,0.33,1.0,1.0,0.5,0.5,0.533,0.8,0.7,0.7,1.0,1,0.0,0.1,0.033,0.075,0.2,0.05,0.05,0.07995000000000001,0.020000000000000004,0.017499999999999998,0.017499999999999998,0.6429499999999999
