EmployeeID,Role Name,Role Description,Theme,Products Experience,Core Competencies,External/Internal Certifications,Expertise Areas,Industry Experience,Work Location,Work Flexibility,Languages Known,Available From,Weekly Availability in Hours,Cultural Awareness,Problem Solving,Leadership
E026,Corporate Trainer,"I'm a highly skilled HR professional with extensive experience in designing and delivering impactful employee training programs, leveraging my expertise in Talent Management, Organizational Development, and Digital HR technologies like Employee Experience Platforms and HRIS Plus. My background spans diverse industries including retail, education, and healthcare, allowing me to bring a versatile approach to projects involving onboarding, employee engagement, and talent development.  I'm confident in my ability to contribute significantly to initiatives improving employee experience and optimizing HR processes across the organization.",HR,"['Employee Experience Platform', 'HRIS Plus', 'Onboarding Suite']","{'Organizational Development': 4, 'Communication Skills': 6, 'Talent Management': 10, 'Digital HR': 6}",['SHRM-CP'],"['Employee Experience Platforms', 'Organizational Development Systems']","['Retail', 'Education', 'Healthcare']",London,remote,"{'German': 'B1', 'Italian': 'C2'}",2025-06-18,40,6,2,6
E027,Technical Support Specialist,"I am a highly proficient technical specialist with extensive experience streamlining workflows in the finance and manufacturing sectors, particularly with Print2.0 technology.  My expertise in workflow automation (expert level) allows me to quickly identify and resolve complex technical issues, ensuring seamless operations. I also leverage my skills in cloud services and API development to contribute to projects requiring robust and scalable solutions.  I'm eager to apply my skills to improve efficiency and customer satisfaction.",Technical,['Print2.0'],"{'Workflow Automation': 10, 'Cloud Services': 5, 'API Development': 5}",['Microsoft Azure Certification'],['Networking'],"['Finance', 'Manufacturing']",Berlin,remote,{'Italian': 'B1'},2025-05-31,30,2,2,8
E028,Corporate Trainer,"I am a seasoned HR professional with a proven track record in designing and delivering impactful employee training programs, leveraging my expertise with platforms like Employee Experience Platform, HRIS Plus, and Onboarding Suite.  My strengths lie in Talent Management and Digital HR, allowing me to contribute significantly to projects focused on improving employee engagement and streamlining HR processes within the education sector.  I'm a highly effective communicator (7/10) and eager to collaborate on initiatives that enhance our employee experience.",HR,"['Employee Experience Platform', 'HRIS Plus', 'Onboarding Suite']","{'Communication Skills': 7, 'Talent Management': 10, 'Digital HR': 9}",['HR Analytics Certification'],['Employee Experience Platforms'],['Education'],London,onsite,{'German': 'B1'},2025-06-12,30,7,3,2
E029,Legal Counsel,"I am a legal professional with expertise in healthcare regulatory compliance and contract management, leveraging my experience with Contract Manager Pro and Regulatory Tracker.  My strong regulatory knowledge (9/10) allows me to ensure projects maintain compliance, while my contract management skills (6/10) enable me to efficiently negotiate and manage agreements.  I'm confident in my ability to contribute significantly to projects requiring both legal review and operational support within the healthcare sector.",Legal,"['Contract Manager Pro', 'Regulatory Tracker']","{'Regulatory Knowledge': 9, 'Contract Management': 6}","['Certified Compliance Officer', 'Contract Law Certification']",['Contract Management Systems'],['Healthcare'],Vienna,remote,"{'Italian': 'A1', 'English': 'B1', 'German': 'B1'}",2025-05-21,30,7,5,6
E030,Project Manager,"I am a seasoned consultant with proven success in ERP migration projects and strategic planning initiatives across the finance, manufacturing, and retail sectors.  My expertise lies in efficiently managing complex projects and optimizing workflows, leveraging my strong project management skills to ensure timely and successful delivery. I'm confident in my ability to coordinate cross-functional teams and contribute significantly to projects requiring strategic planning and ERP system implementations.  I'm eager to collaborate and contribute to our firm's continued success.",Consulting,"['ERP Migration Tool', 'Strategy Kit']","{'Project Management': 4, 'Workflow Optimization': 4}","['Six Sigma', 'Agile Practitioner']","['ERP Systems Integration', 'Business Workflow Optimization']","['Finance', 'Manufacturing', 'Retail']",London,onsite,{'Italian': 'C2'},2025-05-29,30,1,1,6
E031,Senior HR Manager,"I am a seasoned HR professional with extensive experience in streamlining onboarding processes, leveraging my expertise in Digital HR and Talent Management to create engaging and effective employee experiences across diverse sectors like retail, healthcare, and education.  My strong organizational development skills allow me to contribute significantly to projects focused on improving employee relations and overall workplace culture. I'm proficient in utilizing onboarding suites to optimize the employee lifecycle and am eager to apply my skills to enhance our HR operations.",HR,['Onboarding Suite'],"{'Talent Management': 6, 'Digital HR': 10, 'Communication Skills': 5, 'Organizational Development': 9}","['SHRM-CP', 'HR Analytics Certification']",['HRIS Systems'],"['Retail', 'Healthcare', 'Education']",Berlin,onsite,{'Italian': 'B2'},2025-06-08,30,1,7,3
E032,Solutions Support Consultant,"I am a highly proficient technical expert with extensive experience in workflow automation and API development, specifically within the Print2.0 and Workflow2000 ecosystems.  My skills in data analysis and IT infrastructure allow me to deliver effective solutions across diverse industries like finance, retail, and education. I am confident in my ability to contribute significantly to projects requiring seamless integration and troubleshooting of complex technical systems.",Technical,"['Print2.0', 'Workflow2000']","{'Workflow Automation': 7, 'API Development': 10, 'Data Analysis': 7, 'IT Infrastructure': 7, 'Cloud Services': 5}","['Microsoft Azure Certification', 'ISO 27001']","['Scripting', 'Cybersecurity']","['Finance', 'Retail', 'Education']",London,remote,"{'Italian': 'C2', 'German': 'A2', 'English': 'B2'}",2025-06-09,30,8,2,1
E033,Solutions Support Consultant,"I am a highly proficient technical specialist with extensive experience in workflow automation and API development, particularly within the retail sector and using platforms like IntegrationHub and Print2.0.  My expertise in IT infrastructure and cloud services allows me to provide seamless support and effective solutions for complex technical challenges.  I'm eager to contribute my skills to projects requiring robust integration and automation, offering both proactive problem-solving and second-line support.",Technical,"['IntegrationHub', 'Print2.0']","{'Workflow Automation': 9, 'API Development': 9, 'Data Analysis': 4, 'Cloud Services': 6, 'IT Infrastructure': 10}",['ITIL'],"['Cybersecurity', 'Scripting']",['Retail'],Berlin,remote,{'Italian': 'C1'},2025-05-25,20,10,4,8
E034,Content Creator,"I am a marketing professional with a proven track record in developing compelling content across various media, leveraging my expertise in SEO, social media, and digital campaign management.  My skills in copywriting, branding, and SEO optimization allow me to contribute significantly to projects across diverse industries like retail, healthcare, and manufacturing. I'm eager to apply my experience with tools like SEO Toolkit and Digital Campaign Manager to drive impactful results for our team.  I'm confident I can create engaging content that resonates with our target audiences and strengthens our brand presence.",Marketing,"['SEO Toolkit', 'Digital Campaign Manager', 'Social Media Manager']","{'Copywriting': 10, 'Branding': 8, 'SEO Optimization': 6}","['Digital Marketing Certification', 'HubSpot Marketing Certification']","['Content Management Systems', 'SEO Optimization']","['Retail', 'Healthcare', 'Manufacturing']",Vienna,hybrid,"{'German': 'A1', 'English': 'A1'}",2025-06-05,40,7,4,8
E035,Content Creator,"I'm a marketing professional with extensive experience in developing engaging content across various mediums, leveraging my expertise in SEO optimization and branding to drive impactful campaigns. My skills in utilizing Content CMS, Digital Campaign Manager, and SEO toolkits allow me to efficiently manage and analyze marketing efforts, ensuring maximum reach and effectiveness.  Within the healthcare industry, I'm confident in contributing to projects requiring strong content creation and strategic SEO implementation, resulting in improved brand visibility and lead generation.",Marketing,"['Content CMS', 'Digital Campaign Manager', 'SEO Toolkit']","{'SEO Optimization': 10, 'Branding': 10}","['HubSpot Marketing Certification', 'Digital Marketing Certification']",['SEO Optimization'],['Healthcare'],Berlin,remote,{'French': 'C2'},2025-06-05,30,9,2,1
E036,Compliance Manager,"I am a compliance specialist with extensive experience in the manufacturing and healthcare sectors, specializing in contract management and document review within our Compliance Suite.  My strong skills in these areas allow me to ensure our adherence to all relevant regulations and company standards, minimizing risk and maximizing operational efficiency. I'm confident in my ability to contribute significantly to projects requiring thorough legal review and robust contract negotiation, ensuring we maintain a compliant and legally sound framework.",Legal,['Compliance Suite'],"{'Contract Management': 7, 'Document Review': 7}",['GDPR Certification'],"['Document Archiving', 'Contract Management Systems']","['Manufacturing', 'Healthcare']",London,onsite,"{'English': 'C2', 'Italian': 'A2'}",2025-06-08,40,9,5,1
E037,Legal Counsel,"I am a seasoned legal professional with extensive experience in contract management and regulatory compliance across diverse sectors like finance, retail, and education.  My expertise in tools like Regulatory Tracker, Compliance Suite, and Contract Manager Pro allows me to efficiently manage complex legal documents and ensure compliance. I excel at meticulous document review and possess strong contract negotiation skills, enabling me to contribute significantly to projects requiring robust legal support and risk mitigation. I am confident in my ability to proactively identify and address potential legal issues.",Legal,"['Regulatory Tracker', 'Compliance Suite', 'Contract Manager Pro']","{'Regulatory Knowledge': 5, 'Contract Management': 7, 'Compliance Documentation': 6, 'Document Review': 10}",['GDPR Certification'],['Contract Management Systems'],"['Finance', 'Retail', 'Education']",London,onsite,"{'German': 'B1', 'Italian': 'A2'}",2025-05-28,10,9,6,3
E038,Field Support Engineer,"I am a highly proficient technical specialist with extensive experience in streamlining workflows using platforms like Workflow2000, CloudSuite, and IntegrationHub.  My core strengths lie in IT infrastructure management and API development, allowing me to efficiently troubleshoot and implement solutions within finance and manufacturing environments.  I'm eager to leverage my skills to contribute to projects requiring robust technical expertise and seamless system integrations. I'm particularly interested in roles involving system optimization and technical support.",Technical,"['Workflow2000', 'CloudSuite', 'IntegrationHub']","{'IT Infrastructure': 7, 'API Development': 8}","['Microsoft Azure Certification', 'ITIL']",['Cybersecurity'],"['Finance', 'Manufacturing']",London,onsite,"{'German': 'C2', 'Italian': 'C1'}",2025-06-04,10,2,7,6
E039,IT Systems Engineer,"I am a technical professional with a strong background in optimizing IT infrastructure and leveraging data analysis to improve operational efficiency.  My experience with CloudSuite and AIScan, coupled with my skills in data analysis (7/7) and IT infrastructure (6/7), allows me to contribute significantly to projects across healthcare and retail sectors. I'm eager to apply my expertise to maintaining and enhancing our internal systems, ensuring seamless operation and proactive problem-solving.",Technical,"['CloudSuite', 'AIScan']","{'Data Analysis': 7, 'IT Infrastructure': 6}","['Microsoft Azure Certification', 'ISO 27001']",['API Integration'],"['Healthcare', 'Retail']",Vienna,hybrid,"{'English': 'C1', 'German': 'A2', 'French': 'A1'}",2025-05-30,40,5,4,10
E040,IT Systems Engineer,"I am a highly proficient API developer with a strong background in Retail IT, specializing in optimizing integration processes.  My experience with IntegrationHub and Print2.0 allows me to seamlessly integrate new systems and improve existing workflows.  I'm also adept at maintaining and improving our IT infrastructure, leveraging my skills to contribute to projects requiring both robust API development and reliable system performance.  I am confident in my ability to enhance efficiency and reliability across various teams.",Technical,"['IntegrationHub', 'Print2.0']","{'API Development': 10, 'IT Infrastructure': 4}","['ISO 27001', 'Microsoft Azure Certification']",['API Integration'],['Retail'],Vienna,remote,"{'French': 'A1', 'Italian': 'A2'}",2025-06-10,20,10,4,4
E041,Customer Success Manager,"I am a sales professional with a proven track record in the education sector, leveraging my expertise in Salesforce Light, Loyalty CRM, and Sales Enablement Suite to drive client success.  My strong CRM skills (7/7) and integration experience (5/7) allow me to seamlessly manage client relationships and contribute to the optimization of our sales processes. I excel at supporting post-sales activities, ensuring high client satisfaction and fostering long-term partnerships. I am eager to contribute my skills to projects involving CRM enhancement and client retention strategies.",Sales,"['SalesForce Light', 'Loyalty CRM', 'Sales Enablement Suite']","{'Customer Relationship Management': 7, 'CRM Integration': 5}",['CRM Specialist Certification'],"['CRM Integration', 'Sales Pipeline Automation']",['Education'],London,remote,{'Italian': 'A1'},2025-06-01,40,9,2,8
